scenario,bond_amount_ln,hired_attorney,prior_felony,black,hispanic,female,prob,FS,bond_amount
1,8.317081546341523,1,0,0,0,0,0.9367445153970018,1,4093.196754621393
2,8.22979192470924,1,0,1,0,0,0.9516482598074663,1,3751.053169404025
3,8.26542449284368,1,0,0,1,0,0.9008608370580462,1,3887.1226833968485
4,8.31700083759981,0,0,0,0,0,0.3577644728018486,1,4092.8664111927246
5,8.216176854489365,0,0,1,0,0,0.4270571016423609,1,3700.3284112450788
6,8.932730524020155,0,0,0,1,0,0.19683423494330685,1,7575.9234006197685
7,8.81340612535328,1,1,0,0,0,0.865249090309168,1,6723.782353188323
8,9.435015274577179,1,1,1,0,0,0.8570060046982636,1,12519.15655504887
9,9.488768192193861,1,1,0,1,0,0.732773806102855,1,13210.512487630476
10,9.386478681661387,0,1,0,0,0,0.15362380213711332,1,11926.029957891262
11,9.406422897369398,0,1,1,0,0,0.1861152617710746,1,12166.273038381913
12,9.379353782382717,0,1,0,1,0,0.09822887210736955,1,11841.360185628935
